原保险保费收入,原保险保费收入_财产险,原保险保费收入_人身险,原保险保费收入_人身险_寿险,原保险保费收入_人身险_健康险,原保险保费收入_人身险_人身意外伤害险,人身保险公司保户投资款新增交费,人身保险公司投连险独立账户新增交费,原保险赔付支出,原保险赔付支出_财产险,原保险赔付支出_人身险,原保险赔付支出_人身险_寿险,原保险赔付支出_人身险_健康险,原保险赔付支出_人身险_人身意外伤害险,业务及管理费,银行存款,投资,资产总额,from_url,info,养老保险公司企业年金缴费,养老保险公司企业年金受托管理资产,养老保险公司企业年金投资管理资产,Year,Month
11476413.23,2973274.39,8503138.84,7834667.9,488045.63,180425.31,,,2837258.58,1251807.76,1585450.82,1344880.23,183986.72,56583.86,837728.02,81948010.66,223636240.8,338154395.46,http://www.iachina.cn/art/2009/11/5/art_617_11119.html,2009年1月保险业经营数据,--,--,--,2009,1
32767025.59,7185819.94,25581205.65,23589945.93,1403958.63,587301.08,,,8235800.22,3514472.15,4721328.07,4029203.27,540848.08,151276.72,2617023.35,100047101.33,221784969.58,354347298.03,http://www.iachina.cn/art/2009/11/5/art_617_11120.html,2009年1-2月保险业经营数据,639228.12,5376276.26,4236221.70,2009,1-2
32767025.59,7185819.94,25581205.65,23589945.93,1403958.63,587301.08,,,8235800.22,3514472.15,4721328.07,4029203.27,540848.08,151276.72,2617023.35,100047101.33,221784969.58,354347298.03,http://www.iachina.cn/art/2009/11/5/art_617_11118.html,2009年1-3月保险业经营数据,639228.12,5376276.26,4236221.70,2009,1-3
41404593.3,9827050.17,31577543.13,28972789.38,1827127.81,777625.94,,,10773711.41,4790724.18,5982987.24,5084159.2,696254.06,202573.98,3524507.8,103943128.69,220258335.04,355455087.17,http://www.iachina.cn/art/2009/11/5/art_617_11117.html,2009年1-4月保险业经营数据,--,--,--,2009,1-4
49504913.87,12089320.63,37415593.24,34211170.38,2252622.26,951800.6,,,13081729.46,5913100.94,7168628.53,6071939.21,847939.51,248749.81,4404294.17,105293958.23,224736995.09,361956016.37,http://www.iachina.cn/art/2009/11/5/art_617_11116.html,2009年1-5月保险业经营数据,--,--,--,2009,1-5
59861088.54,15118002.87,44743085.67,40601617.36,2944299.47,1197168.84,,,16080729.94,7145127.36,8935602.58,7574883.91,1057879.71,302838.95,5426901.64,104451501.05,232797181.52,370719098.53,http://www.iachina.cn/art/2009/11/5/art_617_11115.html,2009年1-6月保险业经营数据,1149317.26,5903684.51,4676034.59,2009,1-6
67863779.57,17589633.63,50274145.93,45567806.12,3342031.17,1364308.64,,,18633473.61,8534072.22,10099401.39,8481229.17,1257934.12,360238.11,6483286.57,102928959.98,244840158.71,383915331.31,http://www.iachina.cn/art/2009/11/5/art_617_11114.html,2009年1-7月保险业经营数据,--,--,--,2009,1-7
75946506.64,19826391.33,56120115.3,50858359.24,3730007.09,1531748.97,,,20888503.34,9780255.44,11108247.9,9267074.5,1427802.26,413371.14,7350508.01,98523383.67,234195765.57,368067313.76,http://www.iachina.cn/art/2009/11/5/art_617_11113.html,2009年1-8月保险业经营数据,--,--,--,2009,1-8
85803001.76,22339380.99,63463620.77,57233469.56,4375416.26,1854734.95,,,23424285.07,11167950.72,12256334.35,10156950.88,1622227.46,477156.01,8479431.99,100580398.66,242315458.3,378799537.29,http://www.iachina.cn/art/2009/11/5/art_617_11112.html,2009年1-9月保险业经营数据,--,--,--,2009,1-9
93609392.13,24317964.01,69291428.12,62502705.52,4766515.71,2022206.89,,,25421371.03,12199788.94,13221582.09,10931097.93,1771321.75,519162.42,9442634.52,98530381.04,250796226.06,382688517.42,http://www.iachina.cn/art/2009/11/20/art_617_11111.html,2009年1-10月保险业经营数据,--,--,--,2009,1-10
102167569.0,26401791.0,75765779.0,68389111.0,5210619.5,2166048.1,,,28044260.0,13555824.0,14488436.0,11961624.0,1954492.0,572320.47,10547213.0,96859383.0,258790425.0,390629660.0,http://www.iachina.cn/art/2014/1/15/art_617_11110.html,2009年1-11月保险业经营数据,--,--,--,2009,1-11
111372989.0,28758335.0,82614654.0,74574384.0,5739775.4,2300494.0,,,31254827.0,15757845.0,15496982.0,12687425.0,2170336.6,639220.32,12340587.0,105196832.0,268974324.0,406347543.0,http://www.iachina.cn/art/2010/1/26/art_617_11109.html,2009年1-12月保险业经营数据,1666158.7,6380825,4804699.3,2009,1-12
16429787.0,4394967.8,12034820.0,11104358.0,673368.38,257093.11,,,2452905.6,1274969.6,1177936.1,880518.02,231184.44,66233.6,951063.33,106580237.0,264280256.0,404986058.0,http://www.iachina.cn/art/2010/3/22/art_617_11108.html,2010年1月保险业经营数据,--,--,--,2010,1
29880585.0,6517889.8,23362695.0,21876176.0,1095016.4,391502.7,,,4595704.8,2355359.7,2240345.1,1734526.1,390827.8,114991.28,1996319.2,108526336.0,271292167.0,414066774.0,http://www.iachina.cn/art/2010/4/6/art_617_11107.html,2010年1-2月保险业经营数据,--,--,--,2010,1-2
45413624.0,9945012.3,35468612.0,32918123.0,1845512.5,704976.21,,,7321569.5,3639180.3,3682389.2,2897777.8,615625.0,168986.41,3195118.8,115947446.0,279432718.0,429294284.0,http://www.iachina.cn/art/2010/5/13/art_617_11106.html,2010年1-3月保险业经营数据,738134.44,7812128,5790456.2,2010,1-3
56551567.0,13403373.0,43148193.0,39833852.0,2360697.2,953644.05,,,9739108.4,4940166.9,4798941.5,3764346.5,812004.69,222590.35,4338244.1,114602633.0,282421857.0,431640809.0,http://www.iachina.cn/art/2010/5/31/art_617_11105.html,2010年1-4月保险业经营数据,--,--,--,2010,1-4
67370612.0,16495575.0,50875037.0,46829267.0,2862978.5,1182791.4,,,12093297.0,6227589.4,5865707.8,4592289.1,999288.69,274129.97,5445173.1,114643818.0,290483615.0,439544475.0,http://www.iachina.cn/art/2014/1/15/art_617_11104.html,2010年1-5月保险业经营数据,--,--,--,2010,1-5
79985540.56,20178485.22,59807055.34,54705475.95,3642224.03,1459355.36,,,14730346.93,7592914.4,7137432.52,5589181.16,1219384.18,328867.18,6762778.22,127003266.1,289544663.07,452349109.51,http://www.iachina.cn/art/2010/7/28/art_617_11103.html,2010年1-6月保险业经营数据,1508963.55,8346378.30,6058512.78,2010,1-6
90391052.21,23377256.61,67013795.6,61265003.88,4087049.15,1661742.57,,,17176688.81,8968452.02,8208236.8,6380879.84,1438615.57,388741.39,7920189.1,123380990.92,298221237.79,456568496.89,http://www.iachina.cn/art/2010/8/24/art_617_11101.html,2010年1-7月保险业经营数据,--,--,--,2010,1-7
100991326.58,26295690.34,74695636.24,68275941.03,4550850.53,1868844.68,,,19763023.29,10449272.69,9313750.6,7207502.13,1655136.71,451111.75,9073591.54,128434415.03,303543203.78,475314804.75,http://www.iachina.cn/art/2010/9/25/art_617_11100.html,2010年1-8月保险业经营数据,__,__,__,2010,1-8
113242969.04,29548918.78,83694050.26,76250278.39,5255044.48,2188727.39,,,22621271.76,12000467.97,10620803.79,8223289.93,1880461.86,517052.0,10452495.87,130702848.57,312531063.96,479953830.67,http://www.iachina.cn/art/2010/11/1/art_617_11099.html,2010年1-9月保险业经营数据,2221065.53,9201310.64,6367671.56,2010,1-9
123830835.04,32262850.97,91567984.07,83437387.22,5745942.64,2384654.21,,,24915850.78,13236809.37,11679041.41,9065455.95,2050565.64,563019.82,11759906.12,130610200.97,322645633.58,489402302.43,http://www.iachina.cn/art/2010/11/26/art_617_11098.html,2010年1-10月保险业经营数据,——,——,——,2010,1-10
134403530.06,35277136.21,99126393.85,90312012.67,6238532.67,2575848.51,,,28126103.02,15033718.78,13092384.24,10151442.32,2312759.04,628182.87,13166419.44,128540388.38,324916235.93,489616630.06,http://www.iachina.cn/art/2010/12/22/art_617_11097.html,2010年1-11月保险业经营数据,——,——,——,2010,1-11
145279714.55,38956424.71,106323289.84,96795093.43,6774658.47,2753537.94,,,32004291.64,17560273.5,14444018.14,11089892.04,2640219.87,713906.23,15383514.7,139099714.25,321366512.91,504816086.47,http://www.iachina.cn/art/2011/2/10/art_617_11096.html,2010年1-12月保险业经营数据,3574376.60,10391435.90,7089593.60,2010,1-12
17168860.35,4768873.62,12399986.73,11426841.51,684517.27,288627.95,,,3555282.14,1694342.51,1860939.63,1491541.75,301004.18,68393.7,1302145.29,136090260.9,334277848.5,508106202.4,http://www.iachina.cn/art/2011/3/10/art_617_11095.html,2011年1月保险业经营数据,——,——,——,2011,1
30826831.79,7121990.51,23704841.27,22118384.59,1117783.31,468673.37,,,6078861.31,2572262.47,3506598.83,2851639.48,538013.65,116945.7,2410632.07,145991274.97,336714400.54,520771600.66,http://www.iachina.cn/art/2011/3/24/art_617_11094.html,2011年2月保险业经营数据,——,——,——,2011,1-2
46171580.03,11329333.67,34842246.36,32104391.21,1868675.72,869179.43,,,9803987.24,4293896.49,5510090.76,4371905.46,955324.14,182861.16,3854485.43,162571136.57,338992846.85,540640522.6,http://www.iachina.cn/art/2011/5/3/art_617_11093.html,2011年3月保险业经营数据,1694762.99,11469332.01,8020378.72,2011,1-3
80566052.64,23595586.59,56970466.04,51530418.91,3678865.36,1761181.77,,,19589615.21,9368162.62,10221452.59,7694829.6,2158781.64,367841.34,8221223.7,176576480.5,343926078.6,574698618.0,http://www.iachina.cn/art/2011/8/4/art_617_11102.html,2011年6月保险业经营数据,2141021.4,12159371.63,9487298.67,2011,1-6
90551815.73,27265057.68,63286758.04,57147973.69,4136722.72,2002061.63,,,22549694.71,11075448.87,11474245.84,8541033.11,2496721.79,436490.94,9683923.94,159818896.51,357271622.82,560736224.82,http://www.iachina.cn/art/2011/9/1/art_617_11092.html,2011年7月保险业经营数据,_,_,_,2011,1-7
100704809.04,30820074.18,69884734.86,63016986.82,4610507.53,2257240.51,,,25675487.39,12972391.31,12703096.08,9456264.18,2737114.65,509717.25,11149762.86,161747007.13,358463023.46,564383301.08,http://www.iachina.cn/art/2011/10/10/art_617_11091.html,2011年1-8月保险业经营数据,_,_,_,2011,1-8
