,原保险保费收入,原保险保费收入_财产险,原保险保费收入_人身险,原保险保费收入_人身险_寿险,原保险保费收入_人身险_健康险,原保险保费收入_人身险_人身意外伤害险,原保险赔付支出,原保险赔付支出_财产险,原保险赔付支出_人身险,原保险赔付支出_人身险_寿险,原保险赔付支出_人身险_健康险,原保险赔付支出_人身险_人身意外伤害险,业务及管理费,银行存款,投资,资产总额,date
0,11476413.2,2973274.4,8503138.8,7834667.9,488045.6,180425.3,2837258.6,1251807.8,1585450.8,1344880.2,183986.7,56583.9,837728.0,81948010.7,223636240.8,338154395.5,2009-01-01
1,9755257.400000002,1676080.3000000003,8079177.1,7608362.9,327719.70000000007,143094.40000000002,2448630.1,1019682.3,1428947.9000000001,1232891.0000000002,154830.2,41226.700000000004,840329.0,6898197.099999994,-3008504.800000012,3937110.0,2009-02-01
2,11535355.0,2536465.2,8998889.799999999,8146915.099999998,588193.3,263781.39999999997,2949911.5,1242982.1,1706929.3999999994,1451432.0999999996,202031.19999999995,53466.100000000006,938966.3999999999,11200893.5,1157233.599999994,12255792.5,2009-03-01
3,8637567.699999996,2641230.299999999,5996337.400000002,5382843.5,423169.19999999995,190324.80000000005,2537911.2,1276252.0,1261659.1000000006,1054955.9000000004,155406.0,51297.29999999999,907484.3999999999,3896027.400000006,-1526634.599999994,1107789.199999988,2009-04-01
4,8100320.6000000015,2262270.4000000004,5838050.1000000015,5238381.0,425494.49999999977,174174.69999999995,2308018.0999999996,1122376.7000000002,1185641.2999999998,987780.0,151685.40000000002,46175.79999999999,879786.4000000004,1350829.5,4478660.099999994,6500929.199999988,2009-05-01
5,10356174.600000001,3028682.3000000007,7327492.5,6390447.0,691677.2000000002,245368.20000000007,2999000.4000000004,1232026.5,1766974.0999999996,1502944.7000000002,209940.19999999995,54089.20000000001,1022607.3999999994,-842457.1000000089,8060186.400000006,8763082.100000024,2009-06-01
6,8002691.099999994,2471630.700000001,5531060.1999999955,4966188.700000003,397731.7000000002,167139.80000000005,2552743.700000001,1388944.7999999989,1163798.8000000007,906345.2999999989,200054.40000000014,57399.09999999998,1056385.0,-1522541.099999994,12042977.199999988,13196232.800000012,2009-07-01
7,8082727.0,2236757.6999999993,5845969.3999999985,5290553.1000000015,387975.8999999999,167440.3999999999,2255029.6999999993,1246183.2000000011,1008846.5,785845.3000000007,169868.19999999995,53133.0,867221.4000000004,-4405576.299999997,-10644393.099999994,-15848017.5,2009-08-01
8,9856495.200000003,2512989.6999999993,7343505.5,6375110.3999999985,645409.1999999997,322986.0,2535781.8000000007,1387695.2999999989,1148086.5,889876.4000000004,194425.19999999995,63784.90000000002,1128924.0,2057015.0,8119692.700000018,10732223.5,2009-09-01
9,7806390.299999997,1978583.0,5827807.299999997,5269235.8999999985,391099.4000000004,167471.8999999999,1997085.8999999985,1031838.2000000011,965247.6999999993,774147.0,149094.30000000005,42006.40000000002,963202.5,-2050017.700000003,8480767.799999982,3888980.0999999642,2009-10-01
10,8558176.900000006,2083827.0,6474350.900000006,5886405.5,444103.7999999998,143841.2000000002,2622889.0,1356035.0999999996,1266853.9000000004,1030526.0999999996,183170.19999999995,53158.09999999998,1104578.5,-1670998.0,7994198.900000006,7941142.600000024,2009-11-01
11,9205420.0,2356544.0,6848875.0,6185273.0,529155.9000000004,134445.8999999999,3210567.0,2202021.0,1008546.0,725801.0,215844.6000000001,66899.80000000005,1793374.0,8337449.0,10183899.0,15717883.0,2009-12-01
12,16429787.0,4394967.8,12034820.0,11104358.0,673368.4,257093.1,2452905.6,1274969.6,1177936.1,880518.0,231184.4,66233.6,951063.3,106580237.0,264280256.0,404986058.0,2010-01-01
13,13450798.0,2122922.0,11327875.0,10771818.0,421647.9999999999,134409.6,2142799.1999999997,1080390.1,1062409.0,854008.1000000001,159643.4,48757.7,1045255.8999999999,1946099.0,7011911.0,9080716.0,2010-02-01
14,15533039.0,3427122.500000001,12105917.0,11041947.0,750496.1000000001,313473.49999999994,2725864.7,1283820.5999999996,1442044.1,1163251.6999999997,224797.2,53995.09999999999,1198799.5999999999,7421110.0,8140551.0,15227510.0,2010-03-01
15,11137943.0,3458360.6999999993,7679581.0,6915729.0,515184.7000000002,248667.90000000002,2417538.9000000004,1300986.6000000006,1116552.2999999998,866568.7000000002,196379.69999999995,53604.0,1143125.2999999998,-1344813.0,2989139.0,2346525.0,2010-04-01
16,10819045.0,3092202.0,7726844.0,6995415.0,502281.2999999998,229147.29999999993,2354188.5999999996,1287422.5,1066766.2999999998,827942.5999999996,187284.0,51539.600000000006,1106929.0,41185.0,8061758.0,7903666.0,2010-05-01
17,12614928.599999994,3682910.1999999993,8932018.299999997,7876209.0,779245.5,276564.0,2637049.9000000004,1365325.0,1271724.7000000002,996892.1000000006,220095.5,54737.20000000001,1317605.1000000006,12359448.099999994,-938951.8999999762,12804634.5,2010-06-01
18,10405511.600000009,3198771.4000000022,7206740.3000000045,6559527.8999999985,444825.2000000002,202387.2000000002,2446341.9000000004,1375537.5999999996,1070804.2999999998,791698.5999999996,219231.40000000014,59874.20000000001,1157410.8999999994,-3622275.199999988,8676574.699999988,4219387.399999976,2010-07-01
19,10600274.399999991,2918433.6999999993,7681840.6000000015,7010937.1000000015,463801.2999999998,207102.09999999986,2586334.5,1480820.6999999993,1105513.7999999998,826622.2999999998,216521.09999999986,62370.399999999965,1153402.4000000004,5053424.099999994,5321966.0,18746307.900000036,2010-08-01
20,12251642.400000006,3253228.5,8998414.099999994,7974337.400000006,704194.0,319882.69999999995,2858248.5,1551195.3000000007,1307053.2000000011,1015787.8000000007,225325.19999999995,65940.20000000001,1378904.4000000004,2268433.599999994,8987860.199999988,4639025.899999976,2010-09-01
21,10587866.0,2713932.1999999993,7873933.799999997,7187108.799999997,490898.0999999996,195926.80000000028,2294579.0,1236341.4000000004,1058237.5999999996,842166.0999999996,170103.7000000002,45967.80000000005,1307410.1999999993,-92647.59999999404,10114569.600000024,9448471.699999988,2010-10-01
22,10572695.099999994,3014285.200000003,7558409.800000012,6874625.5,492590.10000000056,191194.2999999998,3210252.1999999993,1796909.4000000004,1413342.7999999989,1085986.3000000007,262193.3999999999,65163.09999999998,1406513.3000000007,-2069812.599999994,2270602.2999999523,214327.70000004768,2010-11-01
23,10876184.5,3679288.5,7196895.899999991,6483080.700000003,536125.7999999998,177689.3999999999,3878188.6000000015,2526554.6999999993,1351633.9000000004,938449.6999999993,327460.8999999999,85723.29999999993,2217095.299999999,10559325.900000006,-3549723.0,15199456.399999976,2010-12-01
24,17168860.4,4768873.6,12399986.7,11426841.5,684517.3,288628.0,3555282.1,1694342.5,1860939.6,1491541.8,301004.2,68393.7,1302145.3,136090260.9,334277848.5,508106202.4,2011-01-01
25,13657971.400000002,2353116.9000000004,11304854.600000001,10691543.100000001,433266.0,180045.40000000002,2523579.1999999997,877920.0,1645659.1999999997,1360097.7,237009.49999999994,48552.0,1108486.8,9901014.099999994,2436552.0,12665398.300000012,2011-02-01
26,15344748.2,4207343.199999999,11137405.099999998,9986006.599999998,750892.3999999999,400506.0,3725125.8999999994,1721634.0,2003492.0,1520266.0,417310.4,65915.50000000001,1443853.2999999998,16579861.599999994,2278446.399999976,19868921.900000036,2011-03-01
27,10908497.899999999,4060932.700000001,6847565.1000000015,6061765.699999999,501707.19999999995,284092.29999999993,3116270.5,1564216.0,1552054.4000000004,1109234.9000000004,383350.5000000001,59469.0,1344206.6999999997,-9890721.5,3264356.2000000477,-7047406.100000024,2011-04-01
28,10596284.899999999,3726431.499999998,6869853.3999999985,6068110.5,523613.3999999999,278129.5,3213734.1000000015,1720990.2999999998,1492743.7999999998,1042326.0999999996,388305.5,62112.20000000001,1446596.3000000007,2402495.5,-520794.2000000477,2847835.300000012,2011-05-01
29,12889689.799999997,4478888.700000003,8410801.100000001,7296151.5,784869.1000000001,329780.6000000001,3455623.3999999985,1789059.7999999998,1666563.5999999996,1171363.0999999996,431801.5,63398.899999999965,1575935.2999999998,21493569.900000006,2189669.7000000477,38257666.19999999,2011-06-01
